✅ No overlap between train and test sets.
[0]	train-rmse:109.72866	eval-rmse:123.15768
[184]	train-rmse:20.66353	eval-rmse:159.69892
[185]	train-rmse:20.60440	eval-rmse:159.70714
[186]	train-rmse:20.43200	eval-rmse:159.71354
[187]	train-rmse:20.35631	eval-rmse:159.77570
[188]	train-rmse:20.30594	eval-rmse:159.74942
[189]	train-rmse:20.26189	eval-rmse:159.73296
[190]	train-rmse:20.20767	eval-rmse:159.72424
[191]	train-rmse:20.06411	eval-rmse:159.67617
[192]	train-rmse:19.94900	eval-rmse:159.68763
[193]	train-rmse:19.85744	eval-rmse:159.72088
[194]	train-rmse:19.78688	eval-rmse:159.73588
[195]	train-rmse:19.71744	eval-rmse:159.71273
[196]	train-rmse:19.59312	eval-rmse:159.74936
[197]	train-rmse:19.52269	eval-rmse:159.75178
[198]	train-rmse:19.46677	eval-rmse:159.74325
[199]	train-rmse:19.40033	eval-rmse:159.69278
{'mae': 121.52764892578125, 'rmse': np.float64(159.6927897851841), 'r2': -0.8112678527832031}
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions.csv
